,title,channel,running_time,watch_date,watch_time,category,watched_YN
0,[한눈에 이슈] '요즘 누가 검색을 하니?'...구글의 충격적인 미래 현실로 / KBS  2023.02.11.,KBS News,24:35,2023-02-11,오후 1:18,,0
1,[아고라스쿨] 의료기기 인허가 프로세스에 대해서 알아보자!,보건산업혁신창업센터 KBIC,14:55,2023-02-11,오전 11:27,,0
2,챗 GPT 열풍! 인공지능(AI) 관련주 어떻게 될까,황현희 - 조사하면 돈 나와,12:58,2023-02-11,오전 8:36,,1
3,죄송합니다...,도레,7:55,2023-02-11,오전 8:33,,0
4,현직자가 말하는 요즘 신입사원 나이?,캐치TV,3:28,2023-02-10,오후 11:50,,0
5,IT취업공식 1편 (IT에서 취업활동하다 인생꼬이는 사례),스칼라의 IT직업충전소,11:18,2023-02-10,오후 11:46,,0
6,아니 이 회사는 왜 아무것도 안하냐 ㅋㅋ SNL코리아,쇼츠 다나와,0:59,2023-02-10,오후 11:45,,0
7,공자ㅣ사람을 보는 9가지 지혜ㅣ삶의 지혜,MB MOTIVATION,7:58,2023-02-10,오후 11:42,,0
8,취준 상황별 취준생이 지금 해야 하는 것,면접왕 이형,8:19,2023-02-10,오후 11:39,,0
9,30대라면 보지 마세요. 이미 늦었습니다,김달,19:21,2023-02-10,오후 11:27,,1
10,몇 번 자고 나면 끝날 관계,김달,8:22,2023-02-10,오후 11:27,,0
11,브리온 vs. 한화생명 | 매치35 하이라이트 | 02.10 | 2023 LCK 스프링 스플릿,LCK,37:21,2023-02-10,오후 9:29,,1
12,"단돈 10억으로 스데미돌이 만들기 [메이플스토리, 페이지]",페이지,8:56,2023-02-10,오후 9:23,,0
13,취준생이 서류 지원할 때 가장 어려운 것,면접왕 이형,56:08,2023-02-10,오후 7:44,,0
14,회사에 불만은 있지만 뭘 하고 싶은지 모르는 당신에게 I 구글 UX 리드 김은주,EO 이오,15:32,2023-02-10,오후 7:33,,1
15,"오빠, 오빠, 오빠 블루있어? | 브리온 vs. 한화생명 게임2 하이라이트 | 02.10 | 2023 LCK 스프링 스플릿",LCK,7:12,2023-02-10,오후 7:26,,1
16,롤 이스포츠가 머저리 같은 이유,누긍,8:33,2023-02-10,오후 7:17,,1
17,비전공자 예체능 출신 개발자 취업 준비 /  30살 중고신입 취준일기,AND (ft.인싸담당자),5:35,2023-02-10,오후 7:17,,0
18,조금 치는 샤코 서폿을 만나다,괴물쥐 유튜브,16:01,2023-02-10,오후 7:05,,1
19,[LPL룰러]룰러한테 제리를 풀어준 평범한 결과(중국반응),어웨이,2:13,2023-02-10,오후 7:03,,0
20,리마스터 씨맥이 기대된다는 쵸비,쵸비상 - Chovy Fan Archive,1:19,2023-02-10,오후 7:01,,0
21,케리아: POG는 내꺼니깐 펜타는 줄게 ㅋ [T1 vs BRO],플레임[이호종],23:17,2023-02-10,오후 6:42,,1
22,뚫어 김태민~! | 브리온 vs. 한화생명 게임1 하이라이트 | 02.10 | 2023 LCK 스프링 스플릿,LCK,7:19,2023-02-10,오후 6:34,,1
23,케리아의 바텀 해체 분석 | 리뷰데스크 Ep.3,LCK,6:31,2023-02-10,오후 6:32,,1
24,회사에서 승진을 하는 게 좋은걸까,퇴사한 이형,14:00,2023-02-10,오후 6:18,,1
25,"대학 중퇴 후 창업, 11년을 버티며 빛을 본 지금에야 깨달은 것 | Allo 홍용남",EO 이오,13:59,2023-02-07,오전 10:39,,0
26,"""인사팀에서 연락하더니 갑자기""...요즘 업계 상황 / 스브스뉴스",스브스뉴스 SUBUSUNEWS,4:18,2023-02-07,오전 12:57,,1
27,[자막뉴스] 막 나가는 10대들...파티룸 열자 '기절초풍' 장면 / YTN, YTN,2:13,2023-02-07,오전 12:14,,0
28,[자막뉴스] 중년 생각하면 '막막'…잘 다니던 학교 관두는 한국의 인재들 / JTBC News,JTBC News,1:54,2023-02-07,오전 12:14,,1
29,모자란다고 흐즈므르... 국민연금 고갈되면 MZ세대는 정말 연금을 못 받는 겁니까... / 비디오머그,비디오머그 - VIDEOMUG,2:59,2023-02-07,오전 12:13,,0
30,"[VLOG]직장인 브이로그(드디어 첫출근/매일매일 언박싱/롱부츠, 올리브영, 쿠팡, 조말론/가락시장 회식/잘 먹고 잘 노는 직장인)",수랑 soorang,8:02,2023-02-06,오후 11:01,,0
31,스타포스 개선이 필요 없는 이유 ㄷㄷ,밍밍츄츄,3:01,2023-02-06,오후 11:00,,0
32,나초 오빠 ❤,나초,8:41,2023-02-06,오후 10:59,,0
33,#rtx2080  vs #rtx4080  2세대만에 얼마나 좋아졌나?,민티저,11:32,2023-02-06,오후 10:58,,1
34,Data Analyst | Data Analyst Course | Data Analytics | Data Analytics Full Course 2022 | Simplilearn,Simplilearn,10:31:01,2023-02-06,오후 10:57,,0
35,[자막뉴스] 급한 불 끄려다 '직격탄'…도심 한복판 결국 이렇게 변했다 / JTBC News,JTBC News,4:07,2023-02-06,오후 10:54,,1
36,“이건 뭐 사중고예요”…벼랑 끝의 대한민국 농가 [9시 뉴스] / KBS  2023.02.06.,KBS News,2:18,2023-02-06,오후 10:51,,1
37,다시는 파란 대머리를 무시하지 마라.. [Faker Stream Highlight],T1 Faker,6:03,2023-02-06,오후 10:46,,1
38,e스포츠 토토 도입 찬반논쟁: 살길이냐 죽을길이냐,김성회의 G식백과,8:12,2023-02-06,오후 9:59,,1
39,"[자막뉴스] 돌아온 영업시간에 화난 은행원들 ""회사 고소할 것"" / YTN", YTN,2:08,2023-02-06,오후 9:56,,1
40,"""선생님 되려면 5~6년 공부해야""...'교전원' 도입 속도 / YTN", YTN,2:50,2023-02-06,오후 9:52,,1
41,공부법탐구 ② / 공부에 대한 공부 1부 (2014.07.08 방송)  [KBS시사 BACK],KBS시사,48:33,2023-02-06,오후 9:52,,0
42,신입 가능? 인센티브는? 근무 시간은? 요기요 신규 가맹점 영업 A to Z,위대한상상 (요기요),8:21,2023-02-06,오후 9:14,,0
43,주니어플라톤 교사용(한솔교육),platon15881185,7:52,2023-02-06,오후 9:12,,0
44,Ep(194) Data Engineer 로드맵 톺아보기2,데이터홀릭,1:00:04,2023-02-06,오후 8:55,,0
45,취업준비생이라면 반드시 거쳐야 하는 취업 준비의 6가지 계단,AND (ft.인싸담당자),8:17,2023-02-06,오후 4:54,,1
46,취준생 실수 TOP 3 | 취준생들이 처음에 가장 많이 하는 실수 3가지 [취린이 튜토리얼],AND (ft.인싸담당자),10:51,2023-02-06,오후 4:41,,1
47,1월 소비자물가 5.2%↑…전기·가스요금 역대 최대폭 급등/여전한 고물가에 경기 둔화 우려/[뉴스정주행] 2023년 2월 3일(금)/KBS,KBS News,34:04,2023-02-06,오후 1:46,,1
48,대학 등록금도 오른다 / '매달 88만 원'이 통장에 / '중국인 관광객' 한국 안 온다 - [생활경제]  / KBS  2023.02.06.,KBS News,2:33,2023-02-06,오후 1:43,,1
49,데이터 분석가는 유튜브 알고리즘을 예측할 수 있을까?,메타코드M,3:40,2023-02-06,오후 1:34,,0
50,2월에 절대 놓치면 안 되는 것,면접왕 이형,5:19,2023-02-06,오전 9:33,,0
51,성공하려면 게임 하지 마세요 | 부자들이 게임을 하지 않는 이유 | 성공한 사람들은 왜 다 워커홀릭인가?,하면 늘고 늘면 하고 - 우상향 라이프,5:42,2023-02-05,오후 8:29,,1
52,시계열 데이터 분석 기초 Part.1 #Python #파이썬,데이터 스테이션,19:52,2023-02-05,오후 6:47,,0
53,"[바비톡X다나카] 성형, 병원이 수술해? 의사가 수술해!",바비톡 - Babitalk,0:31,2023-02-05,오후 5:53,,1
54,"[바비톡X다나카] 성형, 피부시술 전 가격비교!",바비톡 - Babitalk,0:31,2023-02-05,오후 5:52,,1
55,현타오고 한국말 튀어나온 다나카,즐길거리 ,0:57,2023-02-05,오후 5:52,,0
56,[Playlist] 틀어놓으면 첫곡부터 극락가는 K-POP 노래모음 플레이리스트 | 케이팝 노동요 & 매장음악 플레이리스트,핑프,2:33:13,2023-02-05,오후 1:46,,0
57,OneRepublic - I Ain’t Worried (From “Top Gun: Maverick”) [Official Music Video],OneRepublicVEVO,2:35,2023-02-05,오후 1:43,,1
58,OneRepublic - I Ain’t Worried (Acoustic) [Official Audio],OneRepublicVEVO,2:30,2023-02-05,오후 1:43,,1
59,Yeseul interview INFJ 1920 1080,스픽 - Speak,0:53,2023-02-05,오전 12:34,,0
60,이직해서 절대 하면 안되는 것,퇴사한 이형,12:32,2023-02-05,오전 12:09,,1
61,원조의 품격 | 농심 vs. T1 게임2 하이라이트 | 02.04 | 2023 LCK 스프링 스플릿,LCK,11:43,2023-02-04,오후 9:33,,1
62,AI가 견적낸 컴퓨터를 조립해봤는데.. 갓성비 실화입니까?!ㄷㄷ 'ChatGPT로 컴퓨터 견적 내보기',도레,9:05,2023-02-04,오후 9:26,,1
63,초가스 키우기 | 디알엑스 vs. 한화생명 게임1 하이라이트 | 02.04 | 2023 LCK 스프링 스플릿,LCK,12:33,2023-02-04,오후 8:19,,1
64,신궁 | 농심 vs. T1 게임1 하이라이트 | 02.04 | 2023 LCK 스프링 스플릿,LCK,9:38,2023-02-04,오후 8:10,,1
65,"[스티브 잡스] A급 인재와 B급, C급 직원의 차이 (한영 자막)",Project스노우볼,7:27,2023-02-04,오후 8:02,,1
66,Crimson Raptor Champion Spotlight | Parody - League of Legends,Layvee,9:45,2023-02-04,오전 1:58,,0
67,젠지 vs. 리브 샌박 | 매치26 하이라이트 | 02.03 | 2023 LCK 스프링 스플릿,LCK,45:49,2023-02-04,오전 12:54,,1
68,KT vs. 광동 | 매치25 하이라이트 | 02.03 | 2023 LCK 스프링 스플릿,LCK,26:07,2023-02-04,오전 12:53,,
69,"솔직히, 연봉 얼마 받으세요? 직무, 연차별 현실 연봉 | ①광화문",캐치TV,4:48,2023-02-03,오전 11:46,,
70,갤S23 출시됐지만…값비싼 신제품 대신 중고 인기 / KBS  2023.02.03.,KBS News,2:12,2023-02-03,오전 11:43,,
71,이직을 성공할 수 밖에 없는 방법,면접왕 이형,10:57,2023-02-03,오전 11:36,,
72,"[퍼센트] 명품 소비 자극한 '불평등'…MZ 69.5% ""계층 이동 힘들 것"" / JTBC 뉴스룸",JTBC News,4:00,2023-02-03,오전 11:31,,
73,"코딩공부 작심삼일 실패하는 이유 (파이썬,C언어 먼저하면 망함) 부트캠프 강사가 알려주는 코딩 공부법, 코딩 독학하는 이들을 위한 영상",코딩알려주는누나,2:23,2023-02-03,오전 2:00,,
74,회사에서 오지랖이 필요할까,퇴사한 이형,8:07,2023-02-02,오후 11:23,,
75,구마유시 기강잡는 페이커 (feat. 페초리),Faker fan TV,1:33,2023-02-02,오후 11:23,,
76,포병지에 이은 포까뮤,글자네 YouTube,0:30,2023-02-02,오후 10:32,,1
77,불만족스러운 걸 삶에 들이지 마세요,말많은소녀,10:31,2023-02-02,오후 10:17,,1
78,두 달만에 전세계가 놀랐다…챗GPT의 위력 - [AI의 습격]① / KBS 2023.02.02.,KBS News,3:00,2023-02-02,오후 10:16,,1
79,[자막뉴스] 핵에 버금가는 위력...'괴물 미사일' 뭐길래?! / YTN, YTN,1:39,2023-02-02,오후 10:14,,1
80,"[자막뉴스] ""한국 핵무장, 전 세계 소프트파워 파괴"" 강력한 경고 / YTN", YTN,2:32,2023-02-02,오후 10:10,,1
81,"대통령마저 언급한 '한국 핵 보유론'…세계 석학들 ""공멸의 길""｜세 개의 전쟁 1부 / JTBC News",JTBC News,6:50,2023-02-02,오후 10:06,,1
82,[최신용산뉴스] SSD 불난 소식! 그리고... 디아블로4를 준비하는 PC라니!!! | 용팔이 훈련소,용팔이 훈련소,10:39,2023-02-02,오후 9:58,,1
83,블로그 저품질 뽀개기 by 그릿지선 블로그강사,그릿지선,10:00,2023-02-02,오후 5:54,,1
84,결혼하고 싶으면 제발 이렇게 연애하지 마세요,김달,8:18,2023-02-02,오후 5:46,,1
85,무조건 상반기에 합격하려면 지금 해야 하는 것,면접왕 이형,8:39,2023-02-02,오후 5:37,,1
86,"취업 공백기의 모든 것 | 공무원 준비, 스펙, 계속되는 불합격",면접왕 이형,1:12:21,2023-02-02,오후 5:36,,1
87,"식물과 대화하는 세상, 초소형 식물센서, ""텔로팜""",SBA서울R&D지원센터,3:22,2023-02-02,오후 4:13,,1
88,"총무, 경력에 도움이 될까?",잡플래닛-Jobplanet,10:29,2023-02-02,오후 1:07,,1
89,상반기에 합격하려면 자소서에 꼭 넣어야 하는 것,면접왕 이형,9:47,2023-02-02,오후 12:29,,1
90,직장은 꼬박꼬박 다니지만 돈이 모이지 않는 사람들의 특징,현대표(노아AI),11:42,2023-02-01,오후 7:56,,1
91,DRX vs. EDG 매치 하이라이트 | Quarter Finals | 10.24 | 2022 월드 챔피언십,LCK,1:19:36,2023-02-01,오후 7:56,,1
92,리브 샌박 vs. 농심 | 매치21 하이라이트 | 02.01 | 2023 LCK 스프링 스플릿,LCK,26:37,2023-02-01,오후 7:48,,1
93,"내 삶의 주도권을 쥐는 진짜 공부 | 최하은 '합격공식' 저자, 연세대 철학과 재학생 | #공부 #불량육아 #하은맘 | 세바시 1621회",세바시 강연 Sebasi Talk,14:57,2023-02-01,오후 6:45,,1
94,경력단절 NO! 자기계발 OK! 직원 복지에 진심인 기업의 조건! l 굿잡스 EP.09 데이터클립,AND (ft.인싸담당자),14:43,2023-02-01,오후 6:38,,1
95,[멤버십 10분 미리보기] 식량위기에서 살아남는 법 1강ㅣ서울대학교 농업생명과학대학 남재철 교수,서가명강,9:46,2023-02-01,오후 6:34,,1
96,하루 수익 13억 미친 대 생성AI 버블 시대의 개막,조코딩 JoCoding,8:58,2023-02-01,오후 6:22,,1
97,2022년에 취업한 데이터 분석가들의 취준 꿀팁! [2023 월간 데이터리안 세미나 미리보기],데이터리안 Datarian,2:45,2023-02-01,오후 6:15,,1
98,백엔드의 종말 등 최신 AI 뉴스와 인간에게 남은 역할,조코딩 JoCoding,8:23,2023-02-01,오후 6:05,,1
99,[EBS 뉴스브릿지] 조용한 퇴직에 이어 '분노의 구직' 이 온다 #분노의구직 #조용한퇴직 #Rage_Applying,이민영TV _Dr.HRD,10:25,2023-02-01,오후 6:05,,1
100,(주)텔로팜 부스 소개 [2022 대한민국 농업박람회 현장],2022 대한민국 농업박람회,2:09,2023-02-01,오후 3:41,,1
101,29세 프리랜서 조구현..,구현몬,8:52,2023-02-01,오후 3:10,,1
102,뭘 많이 하긴했는데 남는 게 없어요,면접왕 이형,20:04,2023-02-01,오후 3:06,,1
103,자기소개서부터 면접까지 한방에 끝내는 방법 (feat. 사례),면접왕 이형,15:22,2023-02-01,오후 3:06,,1
104,하반기에 자소서 합격하려면 꼭 알아야 하는 것,면접왕 이형,1:45:58,2023-02-01,오후 3:06,,1
105,영상 보고 꼭 점검하자! 취준생들이 가장 많이 하는 착각!! [취린이 튜토리얼],AND (ft.인싸담당자),4:38,2023-02-01,오후 2:45,,1
106,대기업 직장인의 MZ세대 체험기,몽과장,21:03,2023-02-01,오후 2:32,,1
107,데이터 기반으로 고객경험을 설계하라! DCX 강좌 오픈,티타임즈TV,2:13,2023-02-01,오후 2:31,,1
108,현재 롤이 케리아 메타가 된 이유,플레임[이호종],8:14,2023-02-01,오후 2:24,,1
109,"【롤】 프로가 말하는 딜포터 ( + 유행 이유, 서폿 아이템 너프 필요)",THIRD[롤 백과사전],2:33,2023-02-01,오후 1:38,,1
110,【패치노트】 카사딘 사망/크산테 사망/돌아온 정글/서폿 대격변 (+13.3 패치),THIRD[롤 백과사전],2:30,2023-02-01,오후 1:35,,1
111,광희의 미덕 | 광동 vs. 디알엑스 게임2 하이라이트 | 01.29 | 2023 LCK 스프링 스플릿,LCK,7:46,2023-02-01,오후 1:27,,1
112,사냥 개시 | 광동 vs. 디알엑스 게임1 하이라이트 | 01.29 | 2023 LCK 스프링 스플릿,LCK,11:07,2023-02-01,오후 1:14,,1
113,경제적 자유를 위한 최소한의 마인드셋 1시간 동기부여 마인드셋 오디오북 (2/4),동기부여학과 : 매일 듣는 성공 마인드 셋,1:40:04,2023-02-01,오전 10:06,,1
114,"가난한 사람은 모르지만, 부자들은 꼭 지키는 습관! (동기부여, 부자되는법, 경제적자유, 성공습관, 데일리리포트, 타이탄의도구들, 팀페리스, PDS 다이어리, 긍정확언)",자본가 마인드셋,8:11,2023-02-01,오전 9:55,,1
115,취업준비 즐겁게 하는 방법 3가지 알려드리겠습니다 [취린이 튜토리얼],AND (ft.인싸담당자),8:10,2023-02-01,오전 9:47,,1
116,롤을 하기 위해 산을 탔습니다. 북악산의 페이커 & HP 미니PC  | 용팔이 훈련소,용팔이 훈련소,20:21,2023-01-31,오후 8:24,,1
117,NS vs BRO - HLE vs KT | 2023 LCK CL 스프링 스플릿,LCK CL,6:11:59,2023-01-31,오후 8:22,,1
118,이번엔 정말 위험? 구글 발칵 뒤집은 AI의 등장,소수몽키,16:43,2023-01-31,오후 8:05,,1
119,"[자막뉴스] '이 숙제를 누가 했다고?'...충격받은 구글 ""직원 소집"" / YTN", YTN,2:03,2023-01-31,오후 8:03,,1
120,개발자는 시작일 뿐 2차 전직을 해야하는 시대,조코딩 JoCoding,4:03,2023-01-31,오후 1:57,,1
121,동기부여 필요할 때마다 보세요 [설 특집 북토크 동기부여 스페셜],북토크,54:19,2023-01-31,오후 1:29,,1
122,"가난한 사람의 3가지 습관, 부자 되려면 절대 하면 안됩니다.",북토크,13:26,2023-01-31,오후 1:12,,1
123,"1년 전,  대기업 퇴사 후 알바생이 된 남자",구현몬,9:26,2023-01-31,오후 1:02,,1
124,생각보다 부진한 한화생명한테 한 소리하는 클템ㅋㅋ |   2023 LCK SPRING 해설 하이라이트,오늘 게임 뭐 할까?,5:19,2023-01-31,오후 12:55,,1
125,면접에서 합격해도 무조건 걸러야 하는 회사,면접왕 이형,10:50,2023-01-31,오후 12:44,,1
126,일상 속 자극을 줄여보세요,이연LEEYEON,12:27,2023-01-31,오후 12:31,,1
127,숙제하는 페이커,Faker fan TV,2:05,2023-01-31,오후 12:28,,1
128,광고 협찬받는 네이버 블로그 만드는 아주 현실적인 방법!,스타트업테드님,11:31,2023-01-31,오전 9:22,,0
129,나에게 맞는 직장을 정하는 기준 | 힘들다고 아무데나 가면 더 힘들어짐. [취린이 튜토리얼],AND (ft.인싸담당자),10:52,2023-01-31,오전 1:51,,1
130,'내가 20살로 돌아간다면' 돈 이 없으면 이 3가지 부터 시작하세요 / 무일푼에서 부자 되는 가장 현실적인 방법 [송사무장 미니 특강],행크TV,27:26,2023-01-30,오후 8:09,,1
131,원딜 서폿에 대한 구마유시의 생각,Faker fan TV,3:50,2023-01-30,오후 8:02,,1
132,성공경험이 없다는 취준생들이 꼭 봐야하는 영상,면접왕 이형,6:07,2023-01-30,오후 2:29,,1
133,다트 들어가지 마세요. 취린이를 위한 기업분석 간단 꿀팁,캐치TV,7:26,2023-01-30,오후 1:56,,1
134,후회없이 회사를 선택하는 기준,퇴사한 이형,8:46,2023-01-30,오전 9:06,,1
135,나에게 맞는 직장을 정하는 기준 | 힘들다고 아무데나 가면 더 힘들어짐. [취린이 튜토리얼],AND (ft.인싸담당자),10:52,2023-01-30,오전 9:04,,1
136,The Witcher 3: Wild Hunt — Complete Edition | “Geralt & Ciri” Trailer,The Witcher,2:12,2023-01-29,오후 5:52,,1
137,Do Good with Data: Let’s talk about TIL+,The Information Lab,47:25,2023-01-29,오후 2:10,,0
138,필살기 Step 3: 인사이트 (면접관의 언어로 풀어주는 친절함까지..),면접왕 이형,7:17,2023-01-29,오후 12:49,,1
