,searchword,search_date,search_time,account
0,https://www.youtube.com/watch?v=zeoaJiLdxEo,2023-03-16,오전 1:32,kjaehw0207
1,https://www.youtube.com/watch?v=N7PeqQm3wGw,2023-03-15,오전 12:41,kjaehw0207
2,https://www.youtube.com/watch?v=VKZQzTZW5lo,2023-03-11,오전 1:13,kjaehw0207
3,https://www.youtube.com/watch?v=z6dIglvdrvc,2023-03-11,오전 12:57,kjaehw0207
4,https://www.youtube.com/watch?v=ks59EyAaWDs,2023-03-11,오전 12:50,kjaehw0207
5,https://www.youtube.com/watch?v=TZc2_GL1JRk,2023-03-10,오후 10:15,kjaehw0207
6,https://www.youtube.com/watch?v=tVyCiBnobe8,2023-02-26,오전 11:08,kjaehw0207
7,https://www.youtube.com/watch?v=UDwDgqmE7uE,2023-02-26,오전 1:45,kjaehw0207
8,https://www.youtube.com/watch?v=PGHIw1JoAM0,2023-02-25,오후 7:48,kjaehw0207
9,https://www.youtube.com/watch?v=JJmxGTLZSNU,2023-02-24,오전 11:48,kjaehw0207
10,https://www.youtube.com/watch?v=5ae_zh167wo,2023-02-17,오전 11:38,kjaehw0207
11,https://www.youtube.com/watch?v=CP-YJEiBJ78,2023-02-16,오후 5:26,kjaehw0207
12,https://www.youtube.com/watch?v=zl4kuqipjC4,2023-02-15,오후 1:57,kjaehw0207
13,https://www.youtube.com/watch?v=cEwe79YQSqU,2023-02-15,오후 1:35,kjaehw0207
14,https://www.youtube.com/watch?v=6IL6Aqh6VzM,2023-02-15,오후 1:29,kjaehw0207
15,https://www.youtube.com/watch?v=YwD42bo9uek,2023-02-15,오후 12:46,kjaehw0207
16,https://www.youtube.com/watch?v=5ae_zh167wo,2023-02-14,오전 4:46,kjaehw0207
17,https://www.youtube.com/watch?v=fMOJJK-MgZI,2023-02-14,오전 4:18,kjaehw0207
18,https://www.youtube.com/watch?v=DDHEXCthc0Q,2023-02-14,오전 4:16,kjaehw0207
19,https://www.youtube.com/watch?v=kCm-YDbACdg,2023-02-14,오전 4:14,kjaehw0207
20,https://www.youtube.com/watch?v=Ev3jZGCSeYk,2023-02-14,오전 4:12,kjaehw0207
21,https://www.youtube.com/watch?v=qz1ViQRfpI8,2023-02-12,오후 8:45,kjaehw0207
22,https://www.youtube.com/watch?v=5n8-INMWAaU,2023-02-12,오후 7:39,kjaehw0207
23,https://www.youtube.com/watch?v=Wgbcll1xkOs,2023-02-12,오후 7:35,kjaehw0207
24,digimon adventure 01 ost,2023-03-29,오전 12:17,woghks.study
25,digimon adventure 02 ost,2023-03-29,오전 12:12,woghks.study
26,digimon adventure 02 ost,2023-03-28,오후 11:03,woghks.study
27,power digimon ost,2023-03-28,오후 11:03,woghks.study
28,라스트 에볼루션,2023-03-28,오후 6:30,woghks.study
29,파카,2023-03-27,오후 10:28,woghks.study
30,데이터 분산,2023-03-27,오후 9:48,woghks.study
31,digimon adventure ost,2023-03-27,오후 9:26,woghks.study
32,인공지능 모델 문제 정의,2023-03-27,오후 9:06,woghks.study
33,인공지능 문제 정의,2023-03-27,오후 9:06,woghks.study
34,fourplay snowbound,2023-03-27,오후 8:42,woghks.study
35,랄로,2023-03-27,오후 8:42,woghks.study
36,dota openai,2023-03-27,오후 7:06,woghks.study
37,lck,2023-03-27,오후 6:37,woghks.study
38,woghks.study,2023-03-27,오후 4:40,woghks.study
39,모두의연구소,2023-03-27,오전 9:25,woghks.study
40,모두의연구소,2023-03-26,오후 11:25,woghks.study
41,https://www.youtube.com/watch?v=jKONrQ3ZEKE,2023-03-26,오후 9:02,woghks.study
42,생활코딩,2023-03-26,오후 8:22,woghks.study
43,머신러닝,2023-03-26,오후 4:00,woghks.study
44,아이펠톤,2023-03-26,오후 3:50,woghks.study
45,모두의연구소,2023-03-26,오후 3:49,woghks.study
46,lck,2023-03-26,오전 9:33,woghks.study
47,crashcourse mathematics,2023-03-25,오후 7:59,woghks.study
48,crashcourse,2023-03-25,오후 7:59,woghks.study
49,nlp,2023-03-25,오후 7:25,woghks.study
50,모두의연구소,2023-03-25,오후 6:35,woghks.study
51,데이터 사이언티스트,2023-03-25,오후 3:54,woghks.study
52,AI엔지니어,2023-03-25,오전 10:59,woghks.study
53,아이펠,2023-03-24,오후 5:31,woghks.study
54,파카,2023-03-23,오후 2:57,woghks.study
55,디지몬 볼레로,2023-03-23,오전 9:37,woghks.study
56,power up,2023-03-23,오전 9:17,woghks.study
57,불광천 생태체험방,2023-03-22,오후 5:26,woghks.study
58,crashcourse,2023-03-21,오후 9:12,woghks.study
59,모두의연구소,2023-03-21,오후 8:25,woghks.study
60,멋쟁이사자처럼,2023-03-20,오후 11:41,woghks.study
61,테킷스쿨,2023-03-20,오후 11:40,woghks.study
62,데이터톤,2023-03-20,오후 11:40,woghks.study
63,랄로,2023-03-20,오후 4:11,woghks.study
64,콜미 페이커,2023-03-20,오후 4:08,woghks.study
65,메이플,2023-03-20,오전 3:40,woghks.study
66,퓨처머넥트,2023-03-18,오후 3:31,woghks.study
67,SK Plnet,2023-03-18,오후 2:06,woghks.study
68,모두의연구소,2023-03-18,오후 1:57,woghks.study
69,퓨처커넥트,2023-03-18,오전 12:29,woghks.study
70,erp,2023-03-17,오후 2:02,woghks.study
71,맑음,2023-03-17,오후 1:12,woghks.study
72,막음,2023-03-17,오후 1:12,woghks.study
73,세글자,2023-03-17,오후 1:12,woghks.study
74,데이터분석 프로젝트,2023-03-17,오전 11:36,woghks.study
75,파카,2023-03-16,오후 11:50,woghks.study
76,발젭,2023-03-16,오후 11:38,woghks.study
77,https://www.youtube.com/watch?v=IkUeeVN_Lyc,2023-03-16,오후 11:36,woghks.study
78,아이유,2023-03-16,오후 11:35,woghks.study
79,악동뮤지션,2023-03-16,오후 11:34,woghks.study
80,랄로,2023-03-16,오전 9:13,woghks.study
81,파카,2023-03-16,오전 9:13,woghks.study
82,발젭,2023-03-16,오전 1:52,woghks.study
83,야옹해 바바,2023-03-16,오전 1:52,woghks.study
84,서폿 미포,2023-03-14,오후 12:46,woghks.study
85,서폿 미ㅗ,2023-03-14,오후 12:46,woghks.study
86,파카,2023-03-14,오후 12:29,woghks.study
87,이송경,2023-03-14,오후 12:28,woghks.study
88,바비톡 이송경,2023-03-14,오후 12:28,woghks.study
89,헤이딜러 이송경,2023-03-14,오후 12:28,woghks.study
90,헤이딜러 광고모델,2023-03-14,오후 12:28,woghks.study
91,헤이딜러 김성경,2023-03-14,오후 12:28,woghks.study
92,바비톡 과고 모델,2023-03-14,오후 12:28,woghks.study
93,바비톡 김성경,2023-03-14,오후 12:27,woghks.study
94,바비톡 여자 모델,2023-03-14,오후 12:27,woghks.study
95,바비톡 다나카,2023-03-14,오후 12:26,woghks.study
96,옥민송,2023-03-12,오후 12:55,woghks.study
97,다나카,2023-03-12,오후 12:33,woghks.study
98,https://www.youtube.com/watch?v=HQfWRuLuUxo,2023-03-12,오후 12:31,woghks.study
99,https://www.youtube.com/watch?v=jR2cJvE2RJA,2023-03-12,오후 12:31,woghks.study
100,스팀 저사양 게임,2023-03-11,오후 11:57,woghks.study
101,파키텍트,2023-03-11,오후 11:55,woghks.study
102,lck,2023-03-11,오후 11:28,woghks.study
103,주 69시간,2023-03-11,오후 3:23,woghks.study
104,wn 69tlrks,2023-03-11,오후 3:23,woghks.study
105,네덜란드 워홀,2023-03-11,오후 1:40,woghks.study
106,스터디,2023-03-11,오전 12:25,woghks.study
107,데이터 파크,2023-03-09,오후 5:47,woghks.study
108,lck,2023-03-09,오후 2:34,woghks.study
109,lck tt1,2023-03-09,오후 2:34,woghks.study
110,ㅅ1,2023-03-09,오후 2:34,woghks.study
111,스타트업,2023-03-08,오후 5:43,woghks.study
112,https://www.youtube.com/watch?v=-I4HWuJDzO0,2023-03-08,오전 11:17,woghks.study
113,병병병 브금,2023-03-08,오전 9:00,woghks.study
114,norah jones,2023-03-08,오전 8:59,woghks.study
115,norah jonex,2023-03-08,오전 8:59,woghks.study
116,https://www.youtube.com/watch?v=qPZdD15R8sE,2023-03-07,오후 11:38,woghks.study
117,스마트팜,2023-03-07,오후 11:18,woghks.study
118,개발자 글쓰기,2023-03-07,오후 11:08,woghks.study
119,랄로,2023-03-06,오후 9:48,woghks.study
120,파카,2023-03-06,오후 9:48,woghks.study
121,데이터 창업경진대회,2023-02-28,오후 4:50,woghks.study
122,데이터,2023-02-28,오후 4:49,woghks.study
123,애그리테크,2023-02-27,오후 3:05,woghks.study
124,agritech,2023-02-27,오후 3:05,woghks.study
125,파카,2023-02-26,오후 12:22,woghks.study
126,cdpr,2023-02-26,오전 11:37,woghks.study
127,https://www.youtube.com/watch?v=1IqFNcIbQ30,2023-02-24,오후 6:48,woghks.study
128,우주 그루브 티모,2023-02-23,오전 5:35,woghks.study
129,파카,2023-02-22,오후 12:09,woghks.study
130,직무,2023-02-22,오후 12:01,woghks.study
131,#어쩌다어른,2023-02-22,오전 11:58,woghks.study
132,https://www.youtube.com/watch?v=ifQZASowPP4,2023-02-22,오전 11:49,woghks.study
133,rct2,2023-02-21,오후 1:03,woghks.study
134,호갱구조대,2023-02-20,오후 10:21,woghks.study
135,두기의고전게임,2023-02-20,오후 4:36,woghks.study
136,로우파이 플리,2023-02-20,오후 1:44,woghks.study
137,파카,2023-02-19,오후 5:06,woghks.study
138,구마유시 솔킬,2023-02-19,오후 5:05,woghks.study
139,배혜지,2023-02-19,오후 2:47,woghks.study
140,https://www.youtube.com/watch?v=zCvRrnB16E4,2023-02-19,오후 2:38,woghks.study
141,https://www.youtube.com/watch?v=s7jTQM_O6dM,2023-02-19,오전 9:28,woghks.study
142,lck 매치 41,2023-02-16,오전 8:27,woghks.study
143,오너 니달리 펜타,2023-02-16,오전 8:24,woghks.study
144,용팔이,2023-02-13,오후 3:32,woghks.study
145,용훈,2023-02-13,오후 3:32,woghks.study
146,허수아비,2023-02-13,오후 1:11,woghks.study
147,용팔이훈련소,2023-02-13,오후 12:45,woghks.study
148,용훈,2023-02-13,오후 12:44,woghks.study
149,용팔이 훈련소,2023-02-13,오전 10:40,woghks.study
150,용훈,2023-02-13,오전 10:40,woghks.study
151,클린 코드,2023-02-13,오전 10:08,woghks.study
152,코드 클렌징,2023-02-13,오전 10:08,woghks.study
153,데이터홀릭 데이터엔지니어,2023-02-13,오전 9:09,woghks.study
154,농업,2023-02-12,오후 7:43,woghks.study
155,argparser,2023-02-12,오후 4:27,woghks.study
156,화이트노이즈,2023-02-12,오후 3:31,woghks.study
157,플레이리스트,2023-02-12,오후 3:31,woghks.study
158,유튜브 데이터 api,2023-02-12,오후 2:01,woghks.study
159,api 사용법,2023-02-12,오후 1:56,woghks.study
160,의료기기 엔지니어링,2023-02-11,오전 11:12,woghks.study
161,데이터 엔지니어,2023-02-10,오후 11:45,woghks.study
162,면접왕 이형,2023-02-10,오후 11:38,woghks.study
163,사망여우,2023-02-10,오후 11:38,woghks.study
164,https://www.youtube.com/watch?v=qEuUSYX372I,2023-02-10,오후 7:44,woghks.study
165,https://www.youtube.com/watch?v=mEtUpaSqFok,2023-02-10,오후 7:17,woghks.study
166,페이지,2023-02-10,오후 7:13,woghks.study
167,춘자,2023-02-10,오후 7:13,woghks.study
168,괴물쥐,2023-02-10,오후 7:05,woghks.study
169,파카,2023-02-10,오후 7:05,woghks.study
170,랄로,2023-02-10,오후 7:05,woghks.study
171,씨맥,2023-02-10,오후 7:01,woghks.study
172,플레임,2023-02-10,오후 6:41,woghks.study
173,권고사직,2023-02-07,오전 12:58,woghks.study
174,의료정보학,2023-02-07,오전 12:46,woghks.study
175,밍밍츄츄,2023-02-06,오후 11:00,woghks.study
176,나초,2023-02-06,오후 10:59,woghks.study
177,팍플레이,2023-02-06,오후 10:59,woghks.study
178,g식백과,2023-02-06,오후 9:59,woghks.study
179,면접왕 이형,2023-02-06,오후 1:43,woghks.study
180,퇴사한 이형,2023-02-06,오후 1:42,woghks.study
181,제이콥 이형,2023-02-06,오후 1:42,woghks.study
182,인싸담당자,2023-02-06,오후 1:42,woghks.study
183,중고차파괴자,2023-02-06,오후 1:41,woghks.study
184,https://www.youtube.com/watch?v=0u14Vg77-DM,2023-02-06,오전 9:33,woghks.study
185,시계열분석,2023-02-05,오후 6:47,woghks.study
186,시계열,2023-02-05,오후 6:47,woghks.study
187,바비톡 다나카,2023-02-05,오후 5:51,woghks.study
188,수수르가 싯가데스까,2023-02-05,오후 5:51,woghks.study
189,https://fastcampus.co.kr/category_online_kfa?utm_source=youtube&utm_medium=display&utm_campaign=prd%5E221229%5E34305&...,2023-02-05,오후 2:56,woghks.study
190,비서,2023-02-05,오후 2:51,woghks.study
191,playlist,2023-02-05,오후 1:46,woghks.study
192,I ain't worried acoustic,2023-02-05,오후 1:42,woghks.study
193,시게열분석,2023-02-05,오전 8:59,woghks.study
194,뭘 많이 하긴 하는데,2023-02-04,오후 10:55,woghks.study
195,파카,2023-02-04,오전 2:02,woghks.study
196,Lck 한화,2023-02-02,오후 11:23,woghks.study
197,한화 승리,2023-02-02,오후 11:22,woghks.study
198,한화,2023-02-02,오후 11:22,woghks.study
199,Lck,2023-02-02,오후 10:33,woghks.study
200,캡틴김수호,2023-02-02,오후 10:33,woghks.study
201,춘자,2023-02-02,오후 10:31,woghks.study
202,킹설아,2023-02-02,오후 10:31,woghks.study
203,전데연,2023-02-02,오후 10:31,woghks.study
204,도파,2023-02-02,오후 10:30,woghks.study
205,파카,2023-02-02,오후 10:30,woghks.study
206,페이팔,2023-02-02,오후 10:30,woghks.study
207,헤이팔,2023-02-02,오후 10:30,woghks.study
208,피터 틸,2023-02-02,오후 10:29,woghks.study
209,https://www.youtube.com/watch?v=08jVNXumRXQ,2023-02-02,오후 10:17,woghks.study
210,핵,2023-02-02,오후 10:13,woghks.study
211,손석희,2023-02-02,오후 10:09,woghks.study
212,https://www.youtube.com/watch?v=sp72MFfiIig,2023-02-02,오후 5:52,woghks.study
213,https://plusxsharex.fastcampus.co.kr/?utm_source=youtube&utm_medium=display&utm_campaign=prd^221221^main&utm_content=...,2023-02-02,오후 5:45,woghks.study
214,https://www.youtube.com/watch?v=qAC3ra0zBC0,2023-02-02,오후 4:13,woghks.study
215,현우진,2023-02-01,오후 7:57,woghks.study
216,https://www.youtube.com/watch?v=4ge3KINxhhA,2023-02-01,오후 7:56,woghks.study
217,울프 분석데스크,2023-02-01,오후 7:52,woghks.study
218,울프 분석,2023-02-01,오후 7:52,woghks.study
219,울프,2023-02-01,오후 7:51,woghks.study
220,데이터 포트폴리오,2023-02-01,오후 3:50,woghks.study
221,https://www.youtube.com/watch?v=1tG0wCLzsrU,2023-02-01,오후 1:38,woghks.study
222,기업제안,2023-02-01,오전 11:16,woghks.study
223,마약 뉴스,2023-02-01,오전 1:15,woghks.study
224,마약,2023-02-01,오전 1:15,woghks.study
225,중독,2023-02-01,오전 1:14,woghks.study
226,마약 중독,2023-02-01,오전 1:14,woghks.study
227,CX,2023-01-31,오후 11:28,woghks.study
228,https://www.youtube.com/watch?v=WsjXyGe6jmM,2023-01-31,오후 8:45,woghks.study
229,분석가,2023-01-31,오전 9:54,woghks.study
230,옥냥이,2023-01-31,오전 9:53,woghks.study
231,아리연습중,2023-01-31,오전 9:53,woghks.study
232,세글자,2023-01-31,오전 9:53,woghks.study
233,데이터드리븐,2023-01-31,오전 9:52,woghks.study
234,병병병,2023-01-31,오전 9:51,woghks.study
235,만 당,2023-01-31,오전 9:51,woghks.study
236,발 젭,2023-01-31,오전 9:51,woghks.study
237,팡이요,2023-01-31,오전 9:51,woghks.study
238,팍플레이,2023-01-31,오전 9:51,woghks.study
239,야옹해 바바,2023-01-31,오전 9:50,woghks.study
240,lck,2023-01-31,오전 9:50,woghks.study
241,교육운영매니저,2023-01-30,오후 11:26,woghks.study
242,기업 선택 기준,2023-01-30,오전 9:04,woghks.study
243,망하는 회사 특징,2023-01-30,오전 9:04,woghks.study
244,회사,2023-01-30,오전 9:04,woghks.study
245,5WHY,2023-01-29,오후 2:37,woghks.study
246,do good with data,2023-01-29,오후 2:10,woghks.study
247,do good with data let's talk about,2023-01-29,오후 2:10,woghks.study
248,면접왕 이형  필살기,2023-01-29,오후 12:35,woghks.study
249,면접왕 이형  자기소개서,2023-01-29,오후 12:35,woghks.study
250,면접왕 이형,2023-01-29,오후 12:29,woghks.study
251,데이터분석가 포트폴리오,2023-01-29,오전 10:55,woghks.study
252,lck,2023-01-28,오후 5:45,woghks.study
253,하츠 오브 스톤,2023-01-28,오전 10:19,woghks.study
254,메이플스토리,2023-01-27,오후 5:18,woghks.study
255,https://www.youtube.com/watch?v=MDyPARQ1xy8,2023-01-27,오후 5:18,woghks.study
256,G식백과,2023-01-27,오후 5:07,woghks.study
257,킥오프,2023-01-27,오후 4:33,woghks.study
258,페이커 노스킨,2023-01-27,오후 4:12,woghks.study
259,Lck,2023-01-27,오후 4:04,woghks.study
260,팍플레이,2023-01-27,오후 4:04,woghks.study
261,표식,2023-01-27,오후 3:54,woghks.study
262,포식,2023-01-27,오후 3:50,woghks.study
263,퇴사한 이형,2023-01-25,오후 5:59,woghks.study
264,교육운영 직무,2023-01-25,오후 5:30,woghks.study
265,교육운영 포트폴리오,2023-01-25,오후 5:30,woghks.study
266,직업의모든것,2023-01-25,오후 5:04,woghks.study
267,취업포트폴리오,2023-01-25,오후 4:59,woghks.study
268,김달,2023-01-25,오후 3:58,woghks.study
269,ces 2023,2023-01-25,오후 1:01,woghks.study
270,뻘짓연구소 맥북,2023-01-24,오전 8:21,woghks.study
271,뻘짓연구소,2023-01-24,오전 8:21,woghks.study
272,https://www.youtube.com/watch?v=MPOtrPFdK1U,2023-01-22,오후 11:12,woghks.study
273,게임을 삽시다,2023-01-21,오후 1:59,woghks.study
274,영레기,2023-01-20,오후 7:00,woghks.study
275,자연어처리,2023-01-16,오후 5:06,woghks.study
276,면접왕이형 지원동기,2023-01-15,오후 3:32,woghks.study
277,fasttext,2023-01-14,오후 4:10,woghks.study
278,부트캠프,2023-01-14,오후 3:43,woghks.study
279,natural language understanding,2023-01-14,오후 3:13,woghks.study
280,자연어처리,2023-01-14,오후 3:00,woghks.study
281,부트캠프 메타코드M,2023-01-14,오후 1:23,woghks.study
282,부트캠프,2023-01-14,오후 1:23,woghks.study
283,깃허브,2023-01-14,오전 12:34,woghks.study
284,자기소개서,2023-01-12,오전 10:10,woghks.study
285,사망 여우,2023-01-12,오전 8:42,woghks.study
286,호갱구조대,2023-01-10,오후 4:03,woghks.study
287,사망여우,2023-01-10,오후 4:03,woghks.study
288,https://swjungle.net/?utm_source=youtube&utm_medium=display&utm_campaign=19470144457&utm_content=etc&utm_term=etc,2023-01-10,오전 10:39,woghks.study
289,산학협력,2023-01-10,오전 9:17,woghks.study
290,https://www.youtube.com/watch?v=2pclkExbNqI,2023-01-10,오전 9:06,woghks.study
291,면접왕 이형,2023-01-10,오전 8:45,woghks.study
292,https://www.youtube.com/watch?v=75c-rRyK3Lk,2023-01-10,오전 8:27,woghks.study
293,취준생이 반드시 알아야 할,2023-01-09,오후 3:36,woghks.study
294,취준생 역할이론,2023-01-09,오후 3:35,woghks.study
295,취준생이 반드시 알아야 할 역할이론,2023-01-09,오후 3:35,woghks.study
296,메이플 이득충,2023-01-09,오후 1:58,woghks.study
297,ndc,2023-01-07,오후 8:58,woghks.study
298,데이터 리터러시,2023-01-07,오후 8:21,woghks.study
299,https://www.youtube.com/watch?v=kot6syiIs0U,2023-01-07,오후 7:49,woghks.study
300,https://www.classu.co.kr/class/classDetail/14059?utm_source=유튜브&utm_campaign=김교포_영어&utm_content=김교포오티_앨런,2023-01-07,오후 7:49,woghks.study
301,위러브,2023-01-04,오후 10:56,woghks.study
302,생명의 빛,2023-01-04,오후 10:50,woghks.study
303,머신러닝 분류 프로젝트 발표,2023-01-04,오후 6:07,woghks.study
304,머신러닝 프로젝트 발표,2023-01-04,오후 6:02,woghks.study
305,머신러닝 프로젝트,2023-01-04,오후 4:10,woghks.study
306,머신러닝 프로젝트 분류,2023-01-04,오후 2:30,woghks.study
307,머신러닝 프로젝트,2023-01-04,오후 2:23,woghks.study
308,남자 취업사진 머리 손질,2023-01-02,오전 11:44,woghks.study
309,남자 취업 머리 손질,2023-01-02,오전 11:44,woghks.study
310,송길영,2023-01-02,오전 9:55,woghks.study
311,영레기,2023-01-02,오전 9:11,woghks.study
312,https://www.youtube.com/watch?v=o61LUlA51HE,2023-01-01,오후 1:48,woghks.study
313,닭이 뛰노는 곳 와헌,2022-12-31,오후 8:44,woghks.study
314,팡이요,2022-12-30,오후 3:58,woghks.study
315,세글자,2022-12-30,오후 3:35,woghks.study
316,팍플레이,2022-12-30,오후 3:34,woghks.study
317,팡이요,2022-12-29,오전 12:44,woghks.study
318,https://www.youtube.com/watch?v=cqc3d_8pEhI,2022-12-29,오전 12:00,woghks.study
319,https://www.youtube.com/watch?v=KDxgxengEYs,2022-12-28,오후 11:30,woghks.study
320,https://www.youtube.com/watch?v=6w_blk3zvwE,2022-12-28,오후 11:11,woghks.study
